S.No.,State / Union Territory,Government,Gvt
1,Andhra Pradesh,Other ,YSRCP
2,Arunachal Pradesh,Alliance,BJP+NPP[1]
3,Assam,Alliance,BJP+AGP+UPPL+BPF
4,Bihar,Alliance,BJP+JD(U)+HAM
5,Chhattisgarh,Other ,INC
6,Delhi,Other ,AAP
7,Goa,Alliance,BJP+MGP
8,Gujarat,Same as Center,BJP
9,Haryana,Alliance,BJP+JJP+HLP
10,Himachal Pradesh,Same as Center,BJP
11,Jammu and Kashmir[2],Other ,President's Rule
12,Jharkhand,Other ,JMM+INC+RJD+NCP+CPI(M)L
13,Karnataka,Same as Center,BJP
14,Kerala,Other ,LDF
15,Madhya Pradesh,Same as Center,BJP
16,Maharashtra,Other ,SS+INC+NCP+BVA+SP+PJP+PWPI
17,Manipur,Alliance,BJP+NPP+JD(U)+NPF+KPA
18,Meghalaya,Other ,NPP+UDP+INC+PDF+BJP+HSPDP
19,Mizoram,Other ,MNF
20,Nagaland,Alliance,NDPP+NPF+BJP
21,Odisha,Other ,BJD
22,Puducherry,Alliance,AINRC+BJP
23,Punjab,Other ,AAP
24,Rajasthan,Other ,INC
25,Sikkim,Alliance,SKM+BJP
26,Tamil Nadu,Other ,DMK+INC+VCK+MDMK+CPI(M)+CPI+MMK+KMDK+TVK
27,Telangana,Other ,TRS
28,Tripura,Alliance,BJP+IPFT
29,Uttar Pradesh,Alliance,BJP+AD(S)+NISHAD
30,Uttarakhand,Same as Center,BJP
31,West Bengal,Other ,AITC+GJM (T)
